filename,animation_id,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,stroke_width,opacity,stroke_opacity,fill_r,fill_g,fill_b,stroke_r,stroke_g,stroke_b,svg_fill_r,diff_fill_r,svg_fill_g,diff_fill_g,svg_fill_b,diff_fill_b,svg_stroke_r,diff_stroke_r,svg_stroke_g,diff_stroke_g,svg_stroke_b,diff_stroke_b,rel_width,rel_height,rel_x_position,rel_y_position,nr_paths_svg
logo_0,1,13.535693,6.9711313,-0.009867404,-0.915823,-2.9847412,5.3831086,0.4951105,-2.146576,4.8687043,-0.94459873,0.0,1.0,1.0,197,0,123,0,0,0,238.6,-41.6,162.6,-162.6,127.4,-4.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.4001799790394025,0.4720190141667347,0.7000899895197011,0.5643229197828795,10
logo_0,0,-1.0009823,4.641413,1.4557428,-0.487705,-1.0374309,6.984421,-0.48548436,-3.9338932,6.0302715,-1.2270602,0.0,1.0,1.0,250,187,0,0,0,0,238.6,11.400000000000006,162.6,24.40000000000001,127.4,-127.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6715527343652601,0.25,0.33577636718263,10
logo_0,2,10.5906725,0.5333701,8.743198,0.24154612,-2.132272,0.6203738,1.6871532,6.592582,3.0344706,-1.5641049,0.0,1.0,1.0,236,116,4,0,0,0,238.6,-2.5999999999999943,162.6,-46.6,127.4,-123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7871938072178429,0.3283235566834655,0.4999911632674701,0.8358382216582674,10
logo_0,3,4.222565,-0.73571146,5.308626,-0.0909095,-4.8759065,2.4101236,0.3149571,-1.7712548,3.811236,-0.73184884,0.0,1.0,1.0,197,0,123,0,0,0,238.6,-41.6,162.6,-162.6,127.4,-4.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.4002061960664552,0.4720190141667345,0.2998969019667724,0.5643229197828794,10
logo_0,4,1.7762775,8.866785,-2.7706463,-0.95576626,-4.7256045,5.412009,0.59761584,2.3314424,2.209505,-1.6069221,0.0,1.0,1.0,236,116,4,0,0,0,238.6,-2.5999999999999943,162.6,-46.6,127.4,-123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5869004276978544,0.3154754984582055,0.5001060407903573,0.1703812636898346,10
logo_0,5,6.0329137,13.505794,1.0092697,-2.1167617,-5.3087826,-0.8829963,0.7765515,-0.714883,3.5501573,-0.15651816,0.0,1.0,1.0,250,187,0,0,0,0,238.6,11.400000000000006,162.6,24.40000000000001,127.4,-127.4,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.6715468194549717,0.75,0.3357793246377742,10
logo_0,7,16.155708,-9.683632,3.990172,1.1609077,-0.5338477,0.5165073,0.45628145,-1.5691264,1.1530269,0.51330715,0.0,1.0,1.0,255,255,255,0,0,0,238.6,16.400000000000006,162.6,92.4,127.4,127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0306281149482168,0.153187027092921,0.4198066522922483,0.8760082854079454,10
logo_0,8,19.34964,-6.6882114,2.912101,4.61842,-0.7080785,1.3967069,1.0312077,1.0030717,1.7334906,-0.050420575,0.0,1.0,1.0,255,255,255,0,0,0,238.6,16.400000000000006,162.6,92.4,127.4,127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1258880916192427,0.1485214323591264,0.5310080944469971,0.8746651596512474,10
logo_0,6,13.320419,-12.192281,5.5114617,2.1402779,-1.5211253,-0.5757658,1.1405346,-0.91459626,2.2544744,0.8091121,0.0,1.0,1.0,255,255,255,0,0,0,238.6,16.400000000000006,162.6,92.4,127.4,127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1292283765154998,0.1610337091452119,0.3125905765084303,0.8762557033104948,10
logo_0,9,23.06038,-3.503057,1.6428971,2.097448,-0.71044207,-0.955173,0.848701,-0.38198733,2.2555232,0.3763534,0.0,1.0,1.0,255,255,255,0,0,0,238.6,16.400000000000006,162.6,92.4,127.4,127.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1292283765154996,0.1611220726818369,0.6858011381711498,0.8762998850788073,10
logo_100,10,16.752708,-6.989428,1.75058,1.9155446,0.09495644,-1.1504623,-0.93914044,-0.95858824,-1.4067696,0.06717773,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,3.090909090909091,-3.090909090909091,6.727272727272728,-6.727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.042386185243328,0.1098862271217581,0.4940733423879489,0.943113560879089,22
logo_100,1,2.0725815,-11.86346,8.745826,-1.9290129,1.6424117,-0.13929704,1.8524925,0.033240866,0.38289484,0.05183411,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,3.090909090909091,-3.090909090909091,6.727272727272728,-6.727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0363184167357521,0.1098862271217581,0.018159208367876,0.943113560879089,22
logo_100,11,14.75415,-3.675702,2.2170892,-4.750811,2.3427796,0.008628484,-0.9433576,-0.10989554,-0.34087434,-0.21526432,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,3.090909090909091,-3.090909090909091,6.727272727272728,-6.727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0128940080785987,0.1099215603137586,0.5312913410826732,0.9431312274750892,22
logo_100,0,9.84659,2.0826755,-8.608974,12.018068,5.810157,3.848711,-0.44847953,-3.8419948,-0.26696515,1.9957464,0.0,1.0,1.0,0,68,148,0,0,0,0.0,0.0,3.090909090909091,64.9090909090909,6.727272727272728,141.27272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.3466212759952732,0.7715709137163445,0.4977422256715996,0.3857854568581722,22
logo_100,12,18.440424,-4.813563,1.1533314,0.55129087,0.48737168,-0.39903614,-0.8775029,-0.6859643,-1.2824925,-0.122515365,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,3.090909090909091,-3.090909090909091,6.727272727272728,-6.727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0425449350007937,0.1099215603137586,0.5730866244509902,0.9431312274750892,22
logo_100,13,20.227884,-3.749371,0.25062695,1.6541737,0.55854523,-0.93968874,-1.0054923,-1.1070049,-1.423546,0.04688712,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,3.090909090909091,-3.090909090909091,6.727272727272728,-6.727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0326142557282203,0.1099215603137584,0.6247243927821775,0.943131227475089,22
logo_100,14,21.737268,-2.9310896,-0.87999177,0.6675835,0.14630425,-1.3915421,-0.08327317,0.060199168,0.61764836,0.049759384,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,3.090909090909091,-3.090909090909091,6.727272727272728,-6.727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0348191134707996,0.1136668786658186,0.6690949499938261,0.9431665606670896,22
logo_100,15,18.059744,-0.15287983,0.77206296,-5.056886,2.991692,0.0865957,-1.0516644,-0.111376844,-0.3144378,-0.29824653,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,3.090909090909091,-3.090909090909091,6.727272727272728,-6.727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0128940080785987,0.1099215603137586,0.7057573245374206,0.9431312274750892,22
logo_100,16,20.224312,0.37302825,-0.22585393,-4.988653,2.8838432,-0.35462704,0.9205541,0.7605561,1.2114824,0.68294746,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,3.090909090909091,-3.090909090909091,6.727272727272728,-6.727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0466195121090787,0.1137022118578201,0.7482317040904518,0.94314889407109,22
logo_100,17,22.067263,1.3308942,-0.08406248,-2.412057,1.9577279,0.37148574,-0.79614264,-0.8138179,-0.51097155,-0.20367542,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,3.090909090909091,-3.090909090909091,6.727272727272728,-6.727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0310620358774452,0.1099215603137586,0.7998253752667875,0.9431312274750892,22
logo_100,19,25.459383,4.4958067,-2.6185927,1.8909501,2.6495843,-0.31368408,-0.07557691,0.45802632,0.6573659,-0.1364137,0.0,1.0,1.0,0,0,0,0,0,0,0.0,0.0,3.090909090909091,-3.090909090909091,6.727272727272728,-6.727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0443440989187383,0.1137022118578197,0.904397368281798,0.9431135608790886,22
