an_vec_0,an_vec_1,an_vec_2,an_vec_3,an_vec_4,an_vec_5,an_vec_6,an_vec_7,an_vec_8,an_vec_9,an_vec_10,an_vec_11,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,fill_r,fill_g,fill_b,svg_fill_r,svg_fill_g,svg_fill_b,diff_fill_r,diff_fill_g,diff_fill_b,rel_height,rel_width,rel_x_position,rel_y_position,rel_x_position_to_animations,rel_y_position_to_animations,nr_paths_svg,rating_0,rating_1,rating_2,rating_3
0,0,0,0,0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.627292,4.5823264,7.082138499999999,-5.8642707000000005,-2.2791502,6.263388,1.0822386,-0.33233494,-0.6077968,0.0137782525,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3628882055240261,0.395994375746385,0.5015112311156477,0.5792887719245869,0.7143089864296067,0.7069742566052191,24.0,1,1,1,0
0,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.7067,3.7978299,8.069836,-5.7480807,-1.9755051,6.3667426,1.2018848999999998,-0.3431861,-0.45724216,0.05420785,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3629041268242445,0.395994375746385,0.5015112311156477,0.6379395431595825,0.7143089864296067,0.7785526945152526,24.0,1,1,1,0
1,0,0,0,0,0,0.13436424411240122,0.8474337369372327,-1.0,-1.0,-1.0,-1.0,-12.2941475,3.4748952000000006,-2.736042,1.6579005,0.91905916,-0.7918491999999999,3.8248775,-0.68570197,-0.08533074,-0.8099907,60.0,60.0,60.0,64.54166666666667,64.54166666666667,64.54166666666667,-4.541666666666671,-4.541666666666671,-4.541666666666671,0.08423934680109069,0.05475168933808315,0.03383765572036357,0.042119673400545336,0.0395007267267509,0.05140359391374784,24.0,0,0,0,0
0,0,1,0,0,0,-1.0,-1.0,-1.0,0.763774618976614,-1.0,-1.0,7.627292,4.5823264,7.082138499999999,-5.8642707000000005,-2.2791502,6.263388,1.0822386,-0.33233494,-0.6077968,0.0137782525,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3628882055240261,0.395994375746385,0.5015112311156477,0.5792887719245869,0.7143089864296067,0.7069742566052191,24.0,1,1,0,0
0,0,1,0,0,0,-1.0,-1.0,-1.0,0.2550690257394217,-1.0,-1.0,8.7067,3.7978299,8.069836,-5.7480807,-1.9755051,6.3667426,1.2018848999999998,-0.3431861,-0.45724216,0.05420785,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3629041268242445,0.395994375746385,0.5015112311156477,0.6379395431595825,0.7143089864296067,0.7785526945152526,24.0,1,1,0,0
0,1,0,0,0,0,-1.0,-1.0,0.05655136772680869,-1.0,-1.0,-1.0,8.7067,3.7978299,8.069836,-5.7480807,-1.9755051,6.3667426,1.2018848999999998,-0.3431861,-0.45724216,0.05420785,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3629041268242445,0.395994375746385,0.5015112311156477,0.6379395431595825,0.5,0.5695566796728625,24.0,1,1,0,0
0,1,0,0,0,0,-1.0,-1.0,0.23796462709189134,-1.0,-1.0,-1.0,-12.2941475,3.4748952000000006,-2.736042,1.6579005,0.91905916,-0.7918491999999999,3.8248775,-0.68570197,-0.08533074,-0.8099907,60.0,60.0,60.0,64.54166666666667,64.54166666666667,64.54166666666667,-4.541666666666671,-4.541666666666671,-4.541666666666671,0.08423934680109069,0.05475168933808315,0.03383765572036357,0.042119673400545336,0.03978952630686397,0.05140359391374784,24.0,1,1,0,0
0,0,1,0,0,0,-1.0,-1.0,-1.0,0.5442292252959519,-1.0,-1.0,7.627292,4.5823264,7.082138499999999,-5.8642707000000005,-2.2791502,6.263388,1.0822386,-0.33233494,-0.6077968,0.0137782525,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3628882055240261,0.395994375746385,0.5015112311156477,0.5792887719245869,0.7143948870097082,0.7069742566052191,24.0,1,0,0,0
0,0,1,0,0,0,-1.0,-1.0,-1.0,0.3699551665480793,-1.0,-1.0,8.7067,3.7978299,8.069836,-5.7480807,-1.9755051,6.3667426,1.2018848999999998,-0.3431861,-0.45724216,0.05420785,167.0,167.0,167.0,64.54166666666667,64.54166666666667,64.54166666666667,102.45833333333331,102.45833333333331,102.45833333333331,0.3629041268242445,0.395994375746385,0.5015112311156477,0.6379395431595825,0.7143948870097082,0.7785526945152526,24.0,1,0,0,0
0,0,0,0,1,0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-12.2941475,3.4748952000000006,-2.736042,1.6579005,0.91905916,-0.7918491999999999,3.8248775,-0.68570197,-0.08533074,-0.8099907,60.0,60.0,60.0,64.54166666666667,64.54166666666667,64.54166666666667,-4.541666666666671,-4.541666666666671,-4.541666666666671,0.08423934680109069,0.05475168933808315,0.03383765572036357,0.042119673400545336,0.0395007267267509,0.05140359391374784,24.0,1,1,1,0
